Keyword,SearchVolume,Position,URL,Type,CPC,Competition
"nj tint permit",30,8,"/new-jersey-window-tint-medical-exemption/",organic,2.0399999618530273,0.10999999940395355
"nj window tint exemption",40,8,"/new-jersey-window-tint-medical-exemption/",organic,0,0.07000000029802322
"ct tint exemption",20,9,"/connecticut-window-tint-medical-exemption/",organic,2.069999933242798,0.14000000059604645
"ga tint exemption",50,9,"/georgia-window-tint-medical-exemption/",organic,1.940000057220459,0.05000000074505806
"mass tint waiver",140,9,"/massachusetts-window-tint-medical-exemption/",organic,1.850000023841858,0.03999999910593033
"mass tint waiver form",40,9,"/massachusetts-window-tint-medical-exemption/",organic,0,0.009999999776482582
"massachusetts window tint waiver",30,9,"/massachusetts-window-tint-medical-exemption/",organic,0,0.05000000074505806
"rmv tint waiver",90,9,"/massachusetts-window-tint-medical-exemption/",organic,0,0.05000000074505806
"tint waiver ma",30,9,"/massachusetts-window-tint-medical-exemption/",organic,2.0199999809265137,0.07999999821186066
"tint waiver massachusetts",210,9,"/massachusetts-window-tint-medical-exemption/",organic,1.7599999904632568,0.07999999821186066
"window tint prescription online texas",50,9,"/product/texas-online-window-tint-medical-exemption-consultation/",organic,0,0
"window tint waiver massachusetts",30,9,"/massachusetts-window-tint-medical-exemption/",organic,0,0.05999999865889549
"massachusetts tint waiver",110,10,"/massachusetts-window-tint-medical-exemption/",organic,0,0.05999999865889549
"tinted glass waiver massachusetts",30,10,"/massachusetts-window-tint-medical-exemption/",organic,0,0
"astigmatism tint waiver",30,11,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,0,0.07000000029802322
"florida window tint exemption",170,11,"/florida-window-tint-medical-exemption/",organic,4.769999980926514,0.25999999046325684
"mass rmv tint waiver",30,11,"/massachusetts-window-tint-medical-exemption/",organic,0,0
"ny dmv tint exemption",50,11,"/new-york-window-tint-medical-exemption/",organic,0,0.009999999776482582
"pennsylvania tint exemption",30,11,"/pennsylvania-window-tint-medical-exemption/",organic,0,0.05000000074505806
"georgia window tint exemption",70,12,"/georgia-window-tint-medical-exemption/",organic,1.6299999952316284,0.07999999821186066
"maryland tint waiver form",40,12,"/maryland-window-tint-medical-exemption/",organic,0,0.03999999910593033
"medical exemption for window tint nj",70,12,"/new-jersey-window-tint-medical-exemption/",organic,1.7799999713897705,0.10999999940395355
"ohio tint exemption",50,12,"/ohio-window-tint-medical-exemption/",organic,1.8199999332427979,0.09000000357627869
"tint exemption arizona",30,12,"/arizona-window-tint-medical-exemption/",organic,0,0.15000000596046448
"tint exemption pa",140,12,"/pennsylvania-window-tint-medical-exemption/",organic,1.7899999618530273,0.14000000059604645
"tint permit nj",30,12,"/new-jersey-window-tint-medical-exemption/",organic,2.0399999618530273,0.10999999940395355
"wv window tint medical exemption form",30,12,"/product/west-virginia-online-window-tint-medical-exemption-consultation/",organic,1.7100000381469727,0.05999999865889549
"astigmatism windshield",30,13,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,0,0
"florida tint medical exemption",40,13,"/florida-window-tint-medical-exemption/",organic,6.320000171661377,0.18000000715255737
"ohio window tint exemption form pdf",50,13,"/ohio-window-tint-medical-exemption/",organic,1.7100000381469727,0.03999999910593033
"ri dmv tint exemption",30,13,"/rhode-island-window-tint-medical-exemption/",organic,0,0
"rmv tint waiver form",30,13,"/massachusetts-window-tint-medical-exemption/",organic,0,0
"window tint prescription online nj",30,13,"/online-medical-exemption-for-window-tint",organic,0,0
"california window tint exemption",90,14,"/california-window-tint-medical-exemption/",organic,4.050000190734863,0.17000000178813934
"nys tinted window exemption",260,14,"/new-york-window-tint-medical-exemption/",organic,1.8799999952316284,0.05999999865889549
"rhode island window tint exemption",30,14,"/rhode-island-window-tint-medical-exemption/",organic,0,0
"tint exemption ny online",50,14,"/online-medical-exemption-for-window-tint",organic,1.8399999141693115,0.17000000178813934
"darkest legal tint in nebraska",30,15,"/window-tint-laws-by-state/nebraska-legal-tint/",organic,7.789999961853027,0.029999999329447746
"delaware tint waiver doctors",40,15,"/delaware-window-tint-medical-exemption/",organic,1.8700000047683716,0.11999999731779099
"delaware tint waiver form",90,15,"/delaware-window-tint-medical-exemption/",organic,0,0.019999999552965164
"fake tint exemption",40,15,"/",organic,2.009999990463257,0.10000000149011612
"how much is a tint ticket in nj",50,15,"/new-jersey-window-tint-medical-exemption/",organic,0,0
"how to get a tint exemption in pa",50,15,"/pennsylvania-window-tint-medical-exemption/",organic,1.9300000667572021,0.10999999940395355
"ny tint exemption form",40,15,"/qualifying-medical-conditions-for-tint-exemption-in-ny/",organic,0,0.029999999329447746
"ohio window tint exemption form",40,15,"/ohio-window-tint-medical-exemption/",organic,1.6399999856948853,0.07999999821186066
"window tint exemption ohio",30,15,"/ohio-window-tint-medical-exemption/",organic,1.8399999141693115,0.15000000596046448
"window tint exemption tennessee",40,15,"/tennessee-window-tint-medical-exemption/",organic,0,0.11999999731779099
"can you get a tint waiver for astigmatism",40,16,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,0,0.009999999776482582
"can you pass inspection with tinted windows nj",40,16,"/new-jersey-window-tint-medical-exemption/",organic,0,0.009999999776482582
"ct tint exemption form",50,16,"/connecticut-window-tint-medical-exemption/",organic,1.940000057220459,0.05999999865889549
"delaware tint waiver reasons",70,16,"/delaware-window-tint-medical-exemption/",organic,0,0.019999999552965164
"florida tint waiver",50,16,"/florida-window-tint-medical-exemption/",organic,4.900000095367432,0.27000001072883606
"form tr 67a michigan",20,16,"/michigan-window-tint-medical-exemption/",organic,0,0
"how much is a tint ticket in wisconsin",20,16,"/window-tint-laws-by-state/wisconsin-legal-tint/",organic,0,0
"how to get tint exemption in pa",50,16,"/pennsylvania-window-tint-medical-exemption/",organic,1.899999976158142,0.11999999731779099
"legal tint in iowa",1300,16,"/iowa-window-tint-medical-exemption/",organic,2.680000066757202,0.009999999776482582
"medical exemption for window tint ny",40,16,"/new-york-window-tint-medical-exemption/",organic,1.7799999713897705,0.09000000357627869
"medical tint waiver delaware",50,16,"/delaware-window-tint-medical-exemption/",organic,2.009999990463257,0.10000000149011612
"michigan window tint exemption form pdf",50,16,"/michigan-window-tint-medical-exemption/",organic,0,0.019999999552965164
"nc dmv window tint waiver",40,16,"/north-carolina-window-tint-medical-exemption/",organic,0,0
"nc window tint waiver",110,16,"/north-carolina-window-tint-medical-exemption/",organic,0,0.10000000149011612
"pa tint exemption",110,16,"/pennsylvania-window-tint-medical-exemption/",organic,1.9300000667572021,0.11999999731779099
"tint waiver pa",30,16,"/pennsylvania-window-tint-medical-exemption/",organic,1.8600000143051147,0.10000000149011612
"window tint medical exemption california",30,16,"/california-window-tint-medical-exemption/",organic,0,0.05999999865889549
"alaska window tint laws",20,17,"/alaska-window-tint-medical-exemption/",organic,0,0
"delaware tint waiver online",30,17,"/delaware-window-tint-medical-exemption/",organic,1.6800000667572021,0.12999999523162842
"form mv 80w",90,17,"/new-york-window-tint-medical-exemption/",organic,0,0.05000000074505806
"form mv-80w",90,17,"/new-york-window-tint-medical-exemption/",organic,0,0.05000000074505806
"legal tint in nh",720,17,"/new-hampshire-window-tint-medical-exemption/",organic,0,0.009999999776482582
"mv-80w form",90,17,"/new-york-window-tint-medical-exemption/",organic,0,0.05000000074505806
"new york state tint exemption",40,17,"/new-york-window-tint-medical-exemption/",organic,1.8299999237060547,0.05999999865889549
"ny tint exemption",390,17,"/new-york-window-tint-medical-exemption/",organic,1.7999999523162842,0.09000000357627869
"nyc tint exemption form",40,17,"/qualifying-medical-conditions-for-tint-exemption-in-ny/",organic,0,0.019999999552965164
"nys window tint exemption sticker replacement",140,17,"/new-york-window-tint-medical-exemption/",organic,2.4200000762939453,0.019999999552965164
"tennessee window tint exemption form pdf",40,17,"/tennessee-window-tint-medical-exemption/",organic,0,0.019999999552965164
"window tint prescription online free",90,17,"/",organic,0,0
"are smoked tail lights legal in georgia",20,18,"/window-tint-laws-by-state/georgia-legal-tint/",organic,0,0
"arizona tint laws 2024",10,18,"/window-tint-laws-by-state/arizona-legal-tint/",organic,0,0
"how to get tint exemption in nj",70,18,"/new-jersey-window-tint-medical-exemption/",organic,1.8799999952316284,0.10999999940395355
"how to get tint waiver in delaware",90,18,"/delaware-window-tint-medical-exemption/",organic,1.7999999523162842,0.14000000059604645
"medical exemption for window tint pa",40,18,"/pennsylvania-window-tint-medical-exemption/",organic,1.9900000095367432,0.07999999821186066
"medical exemption for window tint texas",90,18,"/texas-window-tint-medical-exemption/",organic,4.860000133514404,0.23999999463558197
"new york state tint exemption form",40,18,"/new-york-window-tint-medical-exemption/",organic,0,0.03999999910593033
"nj tint exemption form",40,18,"/new-jersey-window-tint-medical-exemption/",organic,0,0.029999999329447746
"north carolina tint waiver",20,18,"/north-carolina-window-tint-medical-exemption/",organic,0,0.05000000074505806
"ny tint exemption online",90,18,"/",organic,1.7100000381469727,0.15000000596046448
"nys tint exemption form",320,18,"/new-york-window-tint-medical-exemption/",organic,2.4200000762939453,0.009999999776482582
"tint exemption ct",50,18,"/connecticut-window-tint-medical-exemption/",organic,1.8299999237060547,0.10000000149011612
"tint exemption sticker ny",320,18,"/new-york-window-tint-medical-exemption/",organic,2.3899998664855957,0.009999999776482582
"tint waiver form maryland",40,18,"/maryland-window-tint-medical-exemption/",organic,0,0.03999999910593033
"window tint exemption california",260,18,"/california-window-tint-medical-exemption/",organic,3.3899998664855957,0.2199999988079071
"window tint exemption michigan",30,18,"/michigan-window-tint-medical-exemption/",organic,2.8399999141693115,0.10999999940395355
"wisconsin tint laws 2024",20,18,"/window-tint-laws-by-state/wisconsin-legal-tint/",organic,0,0
"wyoming tint laws",140,18,"/wyoming-window-tint-medical-exemption/",organic,0,0
"alaska window tinting laws",20,19,"/alaska-window-tint-medical-exemption/",organic,0,0
"fl tint exemption",40,19,"/florida-window-tint-medical-exemption/",organic,3.2899999618530273,0.28999999165534973
"florida windshield tint exemption",50,19,"/florida-window-tint-medical-exemption/",organic,4.769999980926514,0.25999999046325684
"how to get tint exemption in texas",90,19,"/texas-window-tint-medical-exemption/",organic,2.4800000190734863,0.30000001192092896
"louisiana tint exemption form",30,19,"/louisiana-window-tint-medical-exemption/",organic,0,0.05000000074505806
"maine window tint law",90,19,"/maine-window-tint-medical-exemption/",organic,0,0.009999999776482582
"ny tint exemption sticker",90,19,"/new-york-window-tint-medical-exemption/",organic,0,0.019999999552965164
"tennessee window tint exemption form",30,19,"/tennessee-window-tint-medical-exemption/",organic,0,0.03999999910593033
"tint exemption alabama",30,19,"/alabama-window-tint-medical-exemption/",organic,1.8799999952316284,0.12999999523162842
"tint exemption florida",480,19,"/florida-window-tint-medical-exemption/",organic,3.299999952316284,0.28999999165534973
"tint exemption form ny",50,19,"/qualifying-medical-conditions-for-tint-exemption-in-ny/",organic,0,0.03999999910593033
"tint exemption ma",70,19,"/massachusetts-window-tint-medical-exemption/",organic,1.7999999523162842,0.11999999731779099
"tint exemption ny form",50,19,"/new-york-window-tint-medical-exemption/",organic,0,0.019999999552965164
"window tint exemption form florida",40,19,"/florida-window-tint-medical-exemption/",organic,2.6600000858306885,0.14000000059604645
"california tint exemption form",30,20,"/california-window-tint-medical-exemption/",organic,2.059999942779541,0.12999999523162842
"dmv tint exemption form nj",40,20,"/new-jersey-window-tint-medical-exemption/",organic,0,0.029999999329447746
"forevertint",320,20,"/new-york-window-tint-medical-exemption/",organic,3.0799999237060547,0.18000000715255737
"how much is a window tint ticket in nj",140,20,"/new-jersey-window-tint-medical-exemption/",organic,0,0.009999999776482582
"maryland tint exemption",50,20,"/maryland-window-tint-medical-exemption/",organic,2.109999895095825,0.07000000029802322
"nj tint exemption",140,20,"/new-jersey-window-tint-medical-exemption/",organic,2,0.07999999821186066
"nyc tint exemption sticker",110,20,"/new-york-window-tint-medical-exemption/",organic,1.8199999332427979,0.009999999776482582
"nys window tint exemption",260,20,"/qualifying-medical-conditions-for-tint-exemption-in-ny/",organic,1.8799999952316284,0.05999999865889549
"tint exemption california",390,20,"/california-window-tint-medical-exemption/",organic,3.4800000190734863,0.23999999463558197
"tint exemption nj",140,20,"/new-jersey-window-tint-medical-exemption/",organic,1.9200000762939453,0.14000000059604645
"what medical conditions qualify for window tint in ohio",20,20,"/ohio-window-tint-medical-exemption/",organic,0,0.05000000074505806
"window tint prescription online",390,20,"/",organic,0,0
"can you get pulled over for tint in utah",30,21,"/window-tint-laws-by-state/utah-legal-tint/",organic,0,0.07000000029802322
"dmv tinted window form ny",50,21,"/new-york-window-tint-medical-exemption/",organic,0,0.009999999776482582
"iowa tint laws 2024",10,21,"/iowa-window-tint-medical-exemption/",organic,0,0
"legal tint in wv",480,21,"/west-virginia-window-tint-medical-exemption/",organic,3.8600001335144043,0.009999999776482582
"ma tint waiver",140,21,"/massachusetts-window-tint-medical-exemption/",organic,1.850000023841858,0.03999999910593033
"medical tint exemption ny",40,21,"/qualifying-medical-conditions-for-tint-exemption-in-ny/",organic,1.7400000095367432,0.12999999523162842
"nh legal tint limit",30,21,"/new-hampshire-window-tint-medical-exemption/",organic,0,0
"nh window tint",260,21,"/new-hampshire-window-tint-medical-exemption/",organic,4.970000267028809,0.5400000214576721
"pa window tint exemption form",30,21,"/pennsylvania-window-tint-medical-exemption/",organic,0,0.03999999910593033
"tint waiver california",30,21,"/california-window-tint-medical-exemption/",organic,5.03000020980835,0.23999999463558197
"window tint exemption massachusetts",40,21,"/massachusetts-window-tint-medical-exemption/",organic,2.0799999237060547,0.07999999821186066
"astigmatism windshield tint",40,22,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,0,0.009999999776482582
"can you tint your windshield in arkansas",30,22,"/window-tint-laws-by-state/arkansas-legal-tint/",organic,0,0
"ct window tint laws",260,22,"/connecticut-window-tint-medical-exemption/",organic,0.03999999910593033,0.009999999776482582
"darkest legal tint in massachusetts",30,22,"/window-tint-laws-by-state/massachusetts-legal-tint/",organic,0,0.009999999776482582
"darkest legal tint oklahoma",20,22,"/window-tint-laws-by-state/oklahoma-legal-tint/",organic,0,0
"dmv tint waiver delaware",260,22,"/delaware-window-tint-medical-exemption/",organic,0,0.019999999552965164
"does astigmatism qualify for window tint",50,22,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,1.7000000476837158,0.029999999329447746
"how to get a tint prescription in texas",50,22,"/texas-window-tint-medical-exemption/",organic,2.869999885559082,0.23000000417232513
"medical tint exemption california",50,22,"/california-window-tint-medical-exemption/",organic,2.440000057220459,0.12999999523162842
"medical tint exemption texas",50,22,"/texas-window-tint-medical-exemption/",organic,1.690000057220459,0.23999999463558197
"mv-80w",210,22,"/new-york-window-tint-medical-exemption/",organic,0,0.019999999552965164
"new hampshire tint laws",720,22,"/new-hampshire-window-tint-medical-exemption/",organic,0,0.009999999776482582
"nys dmv window tint exemption",70,22,"/new-york-window-tint-medical-exemption/",organic,2.2699999809265137,0.019999999552965164
"pa tint exemption form",70,22,"/pennsylvania-window-tint-medical-exemption/",organic,1.3799999952316284,0.05000000074505806
"prescription for window tint mn",30,22,"/minnesota-window-tint-medical-exemption/",organic,1.8399999141693115,0.14000000059604645
"tint exemption for astigmatism",30,22,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,1.9200000762939453,0.12999999523162842
"what is the legal tint in iowa",170,22,"/iowa-window-tint-medical-exemption/",organic,0,0.009999999776482582
"what medical conditions qualify for window tint in pa",40,22,"/pennsylvania-window-tint-medical-exemption/",organic,0,0.05000000074505806
"window tint waiver delaware",50,22,"/delaware-window-tint-medical-exemption/",organic,1.9200000762939453,0.029999999329447746
"arkansas legal tint",50,23,"/arkansas-window-tint-medical-exemption/",organic,0,0
"astigmatism window tint exemption",140,23,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,1.6399999856948853,0.07000000029802322
"car tint laws in michigan",10,23,"/window-tint-laws-by-state/michigan-legal-tint/",organic,0,0.03999999910593033
"ct car tint laws",30,23,"/window-tint-laws-by-state/connecticut-legal-tint/",organic,0,0
"does window tint help with astigmatism",40,23,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,0,0
"florida medical exemption window tint",30,23,"/florida-window-tint-medical-exemption/",organic,2.6100001335144043,0.3700000047683716
"how to get a tint waiver in delaware",90,23,"/delaware-window-tint-medical-exemption/",organic,1.7999999523162842,0.14000000059604645
"how to get tint exemption in nc",40,23,"/north-carolina-window-tint-medical-exemption/",organic,2.1500000953674316,0.15000000596046448
"louisiana tint exemption",90,23,"/louisiana-window-tint-medical-exemption/",organic,3.3299999237060547,0.11999999731779099
"michigan window tint exemption form",70,23,"/michigan-window-tint-medical-exemption/",organic,2.259999990463257,0.10000000149011612
"nys window tint exemption sticker",110,23,"/new-york-window-tint-medical-exemption/",organic,0,0.019999999552965164
"prescription for tinted windows",720,23,"/",organic,2.7699999809265137,0.2199999988079071
"texas tint exemption",170,23,"/texas-window-tint-medical-exemption/",organic,4.460000038146973,0.30000001192092896
"tint exemption form florida",40,23,"/florida-window-tint-medical-exemption/",organic,0,0.11999999731779099
"tint exemption md",110,23,"/maryland-window-tint-medical-exemption/",organic,1.6200000047683716,0.17000000178813934
"tint exemption nc",110,23,"/north-carolina-window-tint-medical-exemption/",organic,1.8399999141693115,0.15000000596046448
"tint laws in nh",720,23,"/new-hampshire-window-tint-medical-exemption/",organic,0,0.009999999776482582
"tint ticket nj",70,23,"/new-jersey-window-tint-medical-exemption/",organic,0,0.019999999552965164
"window tint prescription mn",30,23,"/minnesota-window-tint-medical-exemption/",organic,1.8399999141693115,0.14000000059604645
"window tint waiver nc",110,23,"/north-carolina-window-tint-medical-exemption/",organic,0,0.10000000149011612
"are tinted windows legal in ct",30,24,"/window-tint-laws-by-state/connecticut-legal-tint/",organic,0,0.009999999776482582
"darkest legal tint in arkansas",90,24,"/arkansas-window-tint-medical-exemption/",organic,2.009999990463257,0.029999999329447746
"delaware dmv tint waiver form",30,24,"/delaware-window-tint-medical-exemption/",organic,0,0.029999999329447746
"how much is a tint ticket in alabama",90,24,"/alabama-window-tint-medical-exemption/",organic,0,0.009999999776482582
"legal window tint in maine",90,24,"/maine-window-tint-medical-exemption/",organic,0,0.009999999776482582
"new hampshire tint law",720,24,"/new-hampshire-window-tint-medical-exemption/",organic,0,0.009999999776482582
"new jersey tint exemption",30,24,"/new-jersey-window-tint-medical-exemption/",organic,1.7200000286102295,0.10000000149011612
"what medical conditions qualify for window tint in missouri",30,24,"/missouri-window-tint-medical-exemption/",organic,0,0.05999999865889549
"window tint exemption wisconsin",40,24,"/wisconsin-window-tint-medical-exemption/",organic,1.9500000476837158,0.09000000357627869
"arkansas window tinting laws",210,25,"/arkansas-window-tint-medical-exemption/",organic,0,0.009999999776482582
"can you get a tint prescription for astigmatism",40,25,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,0,0.009999999776482582
"connecticut window tint laws",70,25,"/connecticut-window-tint-medical-exemption/",organic,0,0
"delaware window tint laws",20,25,"/window-tint-laws-by-state/delaware-legal-tint/",organic,0,0
"how to get a tint exemption in ny",210,25,"/new-york-window-tint-medical-exemption/",organic,1.899999976158142,0.12999999523162842
"how to get tint exemption in ga",40,25,"/georgia-window-tint-medical-exemption/",organic,0,0.1599999964237213
"how to pass inspection with tinted windows delaware",30,25,"/delaware-window-tint-medical-exemption/",organic,0,0.019999999552965164
"illinois window tint exemption",30,25,"/illinois-window-tint-medical-exemption/",organic,0,0.05999999865889549
"michigan tint exemption form",20,25,"/michigan-window-tint-medical-exemption/",organic,0,0.05999999865889549
"mv 80w form",90,25,"/new-york-window-tint-medical-exemption/",organic,0,0.05000000074505806
"mv-80w.2 sticker",30,25,"/new-york-window-tint-medical-exemption/",organic,0,0
"nj window tint ticket",50,25,"/new-jersey-window-tint-medical-exemption/",organic,0,0.029999999329447746
"nys dmv tint exemption sticker",90,25,"/new-york-window-tint-medical-exemption/",organic,0,0
"nys window tint exemption sticker placement",90,25,"/new-york-window-tint-medical-exemption/",organic,1.9200000762939453,0.009999999776482582
"texas tint exemption form",50,25,"/texas-window-tint-medical-exemption/",organic,1.6100000143051147,0.28999999165534973
"tint exemption va",70,25,"/virginia-window-tint-medical-exemption/",organic,1.9300000667572021,0.17000000178813934
"tint laws in iowa",1300,25,"/iowa-window-tint-medical-exemption/",organic,2.680000066757202,0.009999999776482582
"tint laws in nebraska",720,25,"/nebraska-window-tint-medical-exemption/",organic,1.4300000667572021,0.009999999776482582
"what medical conditions qualify for window tint in california",50,25,"/california-window-tint-medical-exemption/",organic,0.75,0.09000000357627869
"what medical conditions qualify for window tint in georgia",70,25,"/georgia-window-tint-medical-exemption/",organic,0,0.029999999329447746
"what medical conditions qualify for window tint in massachusetts",50,25,"/massachusetts-window-tint-medical-exemption/",organic,1.4700000286102295,0.03999999910593033
"what medical conditions qualify for window tint in nj",20,25,"/new-jersey-window-tint-medical-exemption/",organic,0,0.07000000029802322
"window tint exemption nj",70,25,"/new-jersey-window-tint-medical-exemption/",organic,2,0.18000000715255737
"window tint laws alabama",720,25,"/alabama-window-tint-medical-exemption/",organic,0.05000000074505806,0.009999999776482582
"window tint laws in iowa",720,25,"/iowa-window-tint-medical-exemption/",organic,0,0.009999999776482582
"window tint prescription online california",50,25,"/california-window-tint-medical-exemption/",organic,0,0
"astigmatism window tint",30,26,"/can-you-get-a-window-tint-medical-exemption-for-astigmatism/",organic,1.9900000095367432,0.05999999865889549
"connecticut tint laws",260,26,"/connecticut-window-tint-medical-exemption/",organic,0.009999999776482582,0.009999999776482582
"florida dmv tint exemption",30,26,"/florida-window-tint-medical-exemption/",organic,0,0.14000000059604645
"how much is a tint ticket in iowa",40,26,"/iowa-window-tint-medical-exemption/",organic,0,0
"iowa tint law",170,26,"/iowa-window-tint-medical-exemption/",organic,0,0
"iowa window tint law",720,26,"/iowa-window-tint-medical-exemption/",organic,0,0.009999999776482582
"medical exemption for window tint california",70,26,"/california-window-tint-medical-exemption/",organic,3.180000066757202,0.14000000059604645
"michigan tint exemption",30,26,"/michigan-window-tint-medical-exemption/",organic,1.7999999523162842,0.09000000357627869
"mn window tint exemption form pdf",30,26,"/product/minnesota-online-window-tint-medical-exemption-consultation/",organic,0,0.029999999329447746
"mv-80w 2 sticker",30,26,"/new-york-window-tint-medical-exemption/",organic,0,0
"nc window tint medical exemption",30,26,"/north-carolina-window-tint-medical-exemption/",organic,0,0.10000000149011612
"nebraska tint laws",720,26,"/nebraska-window-tint-medical-exemption/",organic,1.4300000667572021,0.009999999776482582
"north carolina window tint waiver",110,26,"/north-carolina-window-tint-medical-exemption/",organic,0,0.10000000149011612
"ny window tint exemption",90,26,"/new-york-window-tint-medical-exemption/",organic,1.8700000047683716,0.10000000149011612
"nys dmv tint exemption",140,26,"/new-york-window-tint-medical-exemption/",organic,0,0.009999999776482582
"nys tint exemption sticker",210,26,"/new-york-window-tint-medical-exemption/",organic,2.2699999809265137,0.009999999776482582
"pennsylvania window tint exemption form pdf",90,26,"/pennsylvania-window-tint-medical-exemption/",organic,1.8299999237060547,0.07000000029802322
"photophobia tinted windows",30,26,"/can-you-get-a-window-tint-medical-exemption-for-photophobia/",organic,0,0.20000000298023224
"tint exemption illinois",70,26,"/illinois-window-tint-medical-exemption/",organic,1.8799999952316284,0.12999999523162842
"tint laws in alabama",1900,26,"/alabama-window-tint-medical-exemption/",organic,0,0.009999999776482582
"tint rhode island",20,26,"/window-tint-laws-by-state/rhode-island-legal-tint/",organic,3.4700000286102295,0.7400000095367432
"tinted windows exemption ny",140,26,"/new-york-window-tint-medical-exemption/",organic,1.149999976158142,0.10999999940395355
"what medical conditions qualify for window tint in nc",110,26,"/north-carolina-window-tint-medical-exemption/",organic,0,0.019999999552965164
"window tint exemption ny",390,26,"/new-york-window-tint-medical-exemption/",organic,1.809999942779541,0.10000000149011612
"window tint law alabama",720,26,"/alabama-window-tint-medical-exemption/",organic,0.05000000074505806,0.009999999776482582
"window tint laws nh",390,26,"/new-hampshire-window-tint-medical-exemption/",organic,0,0.029999999329447746
"are colored tints legal",30,27,"/window-tint-laws-by-state",organic,0,0.029999999329447746
"darkest legal tint in new mexico",90,27,"/new-mexico-window-tint-medical-exemption/",organic,0,0.009999999776482582
"darkest tint allowed in indiana",30,27,"/window-tint-laws-by-state/indiana-legal-tint/",organic,0,0.009999999776482582
"florida sunscreen exemption",90,27,"/florida-window-tint-medical-exemption/",organic,0,0.05999999865889549
"how to get window tint exemption ny",40,27,"/new-york-window-tint-medical-exemption/",organic,1.9700000286102295,0.10000000149011612
"iowa window tint",170,27,"/iowa-window-tint-medical-exemption/",organic,10.5,0.10000000149011612
"ky tint laws",170,27,"/kentucky-window-tint-medical-exemption/",organic,0,0
"legal window tint in michigan",4400,27,"/window-tint-laws-by-state/michigan-legal-tint/",organic,0.9900000095367432,0.019999999552965164
"legal window tint in ri",70,27,"/rhode-island-window-tint-medical-exemption/",organic,0,0.009999999776482582
"legal window tint mississippi",1300,27,"/mississippi-window-tint-medical-exemption/",organic,0.12999999523162842,0.019999999552965164
"nh window tint laws",390,27,"/new-hampshire-window-tint-medical-exemption/",organic,0,0.029999999329447746
"ri tint laws",590,27,"/rhode-island-window-tint-medical-exemption/",organic,2.299999952316284,0.009999999776482582
"texas window tint exemption form",170,27,"/texas-window-tint-medical-exemption/",organic,3.4800000190734863,0.30000001192092896
"tint laws in wisconsin",1600,27,"/wisconsin-window-tint-medical-exemption/",organic,0,0.019999999552965164
"tint permit texas",30,27,"/texas-window-tint-medical-exemption/",organic,2.259999990463257,0.28999999165534973
